samp_date,field_pt_name,parameter,parameter_name,parvq,value,units,wwtp
12/1/2020,effluent,PFHxS,Perfluorohexanesulfonic acid,=,1.9,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFNA,Perfluorononanoic acid,=,0.96,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFNA,Perfluorononanoic acid,=,0.96,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFNA,Perfluorononanoic acid,=,1.2,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFNA,Perfluorononanoic acid,=,1.3,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFDA,Perfluorodecanoic acid,=,0.95,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFDA,Perfluorodecanoic acid,=,1.6,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFDA,Perfluorodecanoic acid,=,0.8,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFDA,Perfluorodecanoic acid,=,1.7,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFOA,Perfluorooctanoic acid,=,9.3,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFOA,Perfluorooctanoic acid,=,9.6,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFOA,Perfluorooctanoic acid,=,7.9,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFOA,Perfluorooctanoic acid,=,8.4,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFOS,Perfluorooctane sulfonic acid,=,4,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFOS,Perfluorooctane sulfonic acid,=,3.4,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFOS,Perfluorooctane sulfonic acid,=,3.8,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFOS,Perfluorooctane sulfonic acid,=,3.7,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFPA,Perfluoropentanoic acid,=,23,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFPA,Perfluoropentanoic acid,=,35,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFPA,Perfluoropentanoic acid,=,33,NG/L,Carpinteria SD WWTP
12/1/2020,effluent,PFPA,Perfluoropentanoic acid,=,26,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFPES,Perfluoropentane sulfonoic acid,=,1,NG/L,Carpinteria SD WWTP
12/1/2020,influent,PFPES,Perfluoropentane sulfonoic acid,=,1.1,NG/L,Carpinteria SD WWTP
3/10/2021,influent,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,2.8,NG/L,Carpinteria SD WWTP
3/10/2021,influent,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,2.7,NG/L,Carpinteria SD WWTP
3/10/2021,influent,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",=,0.93,NG/L,Carpinteria SD WWTP
3/10/2021,influent,ADONA,"4,8-Dioxa-3H-perfluorononanoic acid",=,0.7,NG/L,Carpinteria SD WWTP
3/10/2021,influent,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,1.3,NG/L,Carpinteria SD WWTP
3/10/2021,influent,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,1.6,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,=,0.53,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,=,0.48,NG/L,Carpinteria SD WWTP
3/10/2021,influent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,0.55,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,1.7,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,1.8,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,3.5,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFBS,Perfluorobutanesulfonic acid,=,6.5,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFBS,Perfluorobutanesulfonic acid,=,6.6,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,4.1,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFBA,Perfluorobutyric acid,=,6.8,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFBA,Perfluorobutyric acid,=,6.9,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFBA,Perfluorobutyric acid,=,5.4,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFBA,Perfluorobutyric acid,=,5.7,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFDoA,Perfluorododecanoic acid,=,1.3,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFDoA,Perfluorododecanoic acid,=,1.2,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFDS,Perfluorodecanesulfonic acid,=,1.6,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFHxA,Perfluorohexanoic acid,=,30,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFHxA,Perfluorohexanoic acid,=,30,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFHxA,Perfluorohexanoic acid,=,18,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFHxA,Perfluorohexanoic acid,=,16,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFHpA,Perfluoroheptanoic acid,=,4.6,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFHpA,Perfluoroheptanoic acid,=,2.3,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFHpA,Perfluoroheptanoic acid,=,4.4,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFHpA,Perfluoroheptanoic acid,=,2.4,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFHxS,Perfluorohexanesulfonic acid,=,2.1,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFHxS,Perfluorohexanesulfonic acid,=,1.8,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFHxS,Perfluorohexanesulfonic acid,=,1.5,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFHxS,Perfluorohexanesulfonic acid,=,1.4,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFNA,Perfluorononanoic acid,=,0.94,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFNA,Perfluorononanoic acid,=,0.93,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFNA,Perfluorononanoic acid,=,2.5,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFNA,Perfluorononanoic acid,=,2.6,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFDA,Perfluorodecanoic acid,=,2.1,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFDA,Perfluorodecanoic acid,=,4.2,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFDA,Perfluorodecanoic acid,=,2,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFDA,Perfluorodecanoic acid,=,4.1,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFOA,Perfluorooctanoic acid,=,11,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFOA,Perfluorooctanoic acid,=,9.2,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFOA,Perfluorooctanoic acid,=,9.8,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFOA,Perfluorooctanoic acid,=,9.6,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,3.3,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,3.4,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFOS,Perfluorooctane sulfonic acid,=,4.3,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFOS,Perfluorooctane sulfonic acid,=,4.3,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFPA,Perfluoropentanoic acid,=,11,NG/L,Carpinteria SD WWTP
3/10/2021,effluent,PFPA,Perfluoropentanoic acid,=,11,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFPA,Perfluoropentanoic acid,=,11,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFPA,Perfluoropentanoic acid,=,11,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFTA,Perfluorotetradecanoic acid,=,0.47,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFTA,Perfluorotetradecanoic acid,=,0.47,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFUnA,Perfluoroundecanoic acid,=,1.1,NG/L,Carpinteria SD WWTP
3/10/2021,influent,PFUnA,Perfluoroundecanoic acid,=,1.2,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,0.52,NG/L,Carpinteria SD WWTP
6/9/2021,influent,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,2.3,NG/L,Carpinteria SD WWTP
6/9/2021,influent,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,2.4,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,1.9,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,1.8,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFBS,Perfluorobutanesulfonic acid,=,6.5,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,3,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,3.1,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFBS,Perfluorobutanesulfonic acid,=,6.3,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFBA,Perfluorobutyric acid,=,7.2,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFBA,Perfluorobutyric acid,=,9,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFBA,Perfluorobutyric acid,=,7.1,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFBA,Perfluorobutyric acid,=,9,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFHxA,Perfluorohexanoic acid,=,10,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFHxA,Perfluorohexanoic acid,=,30,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFHxA,Perfluorohexanoic acid,=,28,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFHxA,Perfluorohexanoic acid,=,10,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFHpA,Perfluoroheptanoic acid,=,2.7,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFHpA,Perfluoroheptanoic acid,=,2.9,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFHpA,Perfluoroheptanoic acid,=,3,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFHpA,Perfluoroheptanoic acid,=,3.3,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFHpS,Perfluoroheptanesulfonic acid,=,1.4,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFHxS,Perfluorohexanesulfonic acid,=,2,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFHxS,Perfluorohexanesulfonic acid,=,1.9,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFNA,Perfluorononanoic acid,=,1,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFNA,Perfluorononanoic acid,=,1.3,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFNA,Perfluorononanoic acid,=,1.3,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFNA,Perfluorononanoic acid,=,0.93,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFDA,Perfluorodecanoic acid,=,2.7,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFDA,Perfluorodecanoic acid,=,2.9,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFOA,Perfluorooctanoic acid,=,5.4,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFOA,Perfluorooctanoic acid,=,11,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFOA,Perfluorooctanoic acid,=,11,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFOA,Perfluorooctanoic acid,=,5.4,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,5.6,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,5.3,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFPA,Perfluoropentanoic acid,=,12,NG/L,Carpinteria SD WWTP
6/9/2021,influent,PFPA,Perfluoropentanoic acid,=,12,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFPA,Perfluoropentanoic acid,=,23,NG/L,Carpinteria SD WWTP
6/9/2021,effluent,PFPA,Perfluoropentanoic acid,=,23,NG/L,Carpinteria SD WWTP
9/22/2021,influent,ETFOSA,N-Ethyl perfluorooctane sulfonamide,=,12,NG/L,Carpinteria SD WWTP
9/22/2021,influent,ETFOSA,N-Ethyl perfluorooctane sulfonamide,=,14,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,12,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,11,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFBA,Perfluorobutyric acid,=,9.1,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFBA,Perfluorobutyric acid,=,9.3,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFHxA,Perfluorohexanoic acid,=,46,NG/L,Carpinteria SD WWTP
9/22/2021,influent,PFHxA,Perfluorohexanoic acid,=,5.3,NG/L,Carpinteria SD WWTP
9/22/2021,influent,PFHxA,Perfluorohexanoic acid,=,4.6,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFHxA,Perfluorohexanoic acid,=,41,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFHpA,Perfluoroheptanoic acid,=,4.6,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFHpA,Perfluoroheptanoic acid,=,4.1,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFHxS,Perfluorohexanesulfonic acid,=,1.7,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFDA,Perfluorodecanoic acid,=,2.1,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFDA,Perfluorodecanoic acid,=,2.5,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFOA,Perfluorooctanoic acid,=,17,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFOA,Perfluorooctanoic acid,=,16,NG/L,Carpinteria SD WWTP
9/22/2021,influent,PFOA,Perfluorooctanoic acid,=,2.6,NG/L,Carpinteria SD WWTP
9/22/2021,influent,PFOA,Perfluorooctanoic acid,=,2.6,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,4,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,4.4,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFPA,Perfluoropentanoic acid,=,52,NG/L,Carpinteria SD WWTP
9/22/2021,effluent,PFPA,Perfluoropentanoic acid,=,55,NG/L,Carpinteria SD WWTP
9/22/2021,influent,PFTA,Perfluorotetradecanoic acid,=,2.9,NG/L,Carpinteria SD WWTP
9/22/2021,influent,PFTA,Perfluorotetradecanoic acid,=,4.3,NG/L,Carpinteria SD WWTP
9/22/2021,influent,PFTrDA,Perfluorotridecanoic acid,=,2.2,NG/L,Carpinteria SD WWTP
12/29/2020,effluent,6:2FTS,6:2 Fluorotelomer sulfonic acid,=,8.7,NG/L,Encina Wastewater Authority
12/29/2020,influent,6:2FTS,6:2 Fluorotelomer sulfonic acid,=,1.1,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFBA,Perfluorobutyric acid,=,19,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFBA,Perfluorobutyric acid,=,17,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFBS,Perfluorobutanesulfonic acid,=,9.8,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFBS,Perfluorobutanesulfonic acid,=,4.1,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFHxA,Perfluorohexanoic acid,=,20,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFHxA,Perfluorohexanoic acid,=,22,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFHpA,Perfluoroheptanoic acid,=,8.3,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFHpA,Perfluoroheptanoic acid,=,8.9,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFHxS,Perfluorohexanesulfonic acid,=,4.7,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFHxS,Perfluorohexanesulfonic acid,=,2.2,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFNA,Perfluorononanoic acid,=,2.3,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFNA,Perfluorononanoic acid,=,1.3,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFDA,Perfluorodecanoic acid,=,2,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFDA,Perfluorodecanoic acid,=,1,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFOA,Perfluorooctanoic acid,=,9.1,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFOA,Perfluorooctanoic acid,=,12,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFOS,Perfluorooctane sulfonic acid,=,5.2,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFOS,Perfluorooctane sulfonic acid,=,3.3,NG/L,Encina Wastewater Authority
12/29/2020,effluent,PFPA,Perfluoropentanoic acid,=,18,NG/L,Encina Wastewater Authority
12/29/2020,influent,PFPA,Perfluoropentanoic acid,=,26,NG/L,Encina Wastewater Authority
2/9/2021,effluent,6:2FTS,6:2 Fluorotelomer sulfonic acid,=,1.4,NG/L,Encina Wastewater Authority
2/9/2021,influent,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,3.5,NG/L,Encina Wastewater Authority
2/9/2021,effluent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,2.8,NG/L,Encina Wastewater Authority
2/9/2021,effluent,PFBA,Perfluorobutyric acid,=,15,NG/L,Encina Wastewater Authority
2/9/2021,influent,PFBA,Perfluorobutyric acid,=,13,NG/L,Encina Wastewater Authority
2/9/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,4.4,NG/L,Encina Wastewater Authority
2/9/2021,influent,PFBS,Perfluorobutanesulfonic acid,=,5.4,NG/L,Encina Wastewater Authority
2/9/2021,influent,PFHxA,Perfluorohexanoic acid,=,11,NG/L,Encina Wastewater Authority
2/9/2021,effluent,PFHxA,Perfluorohexanoic acid,=,16,NG/L,Encina Wastewater Authority
2/9/2021,influent,PFHxS,Perfluorohexanesulfonic acid,=,5.7,NG/L,Encina Wastewater Authority
2/9/2021,effluent,PFHxS,Perfluorohexanesulfonic acid,=,2.9,NG/L,Encina Wastewater Authority
2/9/2021,influent,PFNS,Perfluorononane sulfonic acid,=,2,NG/L,Encina Wastewater Authority
2/9/2021,influent,PFOA,Perfluorooctanoic acid,=,6.6,NG/L,Encina Wastewater Authority
2/9/2021,effluent,PFOA,Perfluorooctanoic acid,=,12,NG/L,Encina Wastewater Authority
2/9/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,5,NG/L,Encina Wastewater Authority
2/9/2021,influent,PFOS,Perfluorooctane sulfonic acid,=,4.1,NG/L,Encina Wastewater Authority
2/9/2021,influent,PFPA,Perfluoropentanoic acid,=,6.9,NG/L,Encina Wastewater Authority
2/9/2021,effluent,PFPA,Perfluoropentanoic acid,=,6.3,NG/L,Encina Wastewater Authority
5/4/2021,influent,PFBS,Perfluorobutanesulfonic acid,=,3.3,NG/L,Encina Wastewater Authority
5/4/2021,influent,PFHxA,Perfluorohexanoic acid,=,8.3,NG/L,Encina Wastewater Authority
5/4/2021,influent,PFHxS,Perfluorohexanesulfonic acid,=,3.3,NG/L,Encina Wastewater Authority
5/4/2021,influent,PFOA,Perfluorooctanoic acid,=,5.7,NG/L,Encina Wastewater Authority
5/4/2021,influent,PFOS,Perfluorooctane sulfonic acid,=,2.4,NG/L,Encina Wastewater Authority
5/4/2021,influent,PFPA,Perfluoropentanoic acid,=,7.1,NG/L,Encina Wastewater Authority
5/4/2021,effluent,PFBA,Perfluorobutyric acid,=,14,NG/L,Encina Wastewater Authority
5/4/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,2.9,NG/L,Encina Wastewater Authority
5/4/2021,effluent,PFHxA,Perfluorohexanoic acid,=,18,NG/L,Encina Wastewater Authority
5/4/2021,effluent,PFHxS,Perfluorohexanesulfonic acid,=,3,NG/L,Encina Wastewater Authority
5/4/2021,effluent,PFOA,Perfluorooctanoic acid,=,8.5,NG/L,Encina Wastewater Authority
5/4/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,4.1,NG/L,Encina Wastewater Authority
5/4/2021,effluent,PFPA,Perfluoropentanoic acid,=,6.6,NG/L,Encina Wastewater Authority
7/26/2021,effluent,6:2FTS,6:2 Fluorotelomer sulfonic acid,=,0.65,NG/L,Encina Wastewater Authority
7/26/2021,influent,8:2FTS,8:2 Fluorotelomer sulfonic acid,=,0.45,NG/L,Encina Wastewater Authority
7/26/2021,influent,MEFOSE,N-Methyl perfluorooctane sulfonamidoethanol,=,0.89,NG/L,Encina Wastewater Authority
7/26/2021,influent,NETFOSAA,N-Ethyl perfluorooctane sulfonamidoacetic acid,=,0.66,NG/L,Encina Wastewater Authority
7/26/2021,effluent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,1.3,NG/L,Encina Wastewater Authority
7/26/2021,influent,NMEFOSAA,N-Methyl perfluorooctane sulfonamidoacetic acid,=,0.84,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFBA,Perfluorobutyric acid,=,18,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFBA,Perfluorobutyric acid,=,30,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFBS,Perfluorobutanesulfonic acid,=,2.3,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFBS,Perfluorobutanesulfonic acid,=,3.3,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFDoA,Perfluorododecanoic acid,=,0.85,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFDS,Perfluorodecanesulfonic acid,=,0.87,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFHxA,Perfluorohexanoic acid,=,13,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFHxA,Perfluorohexanoic acid,=,12,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFHpA,Perfluoroheptanoic acid,=,4,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFHpA,Perfluoroheptanoic acid,=,3.9,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFHxS,Perfluorohexanesulfonic acid,=,1.7,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFHxS,Perfluorohexanesulfonic acid,=,3.2,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFNA,Perfluorononanoic acid,=,1.1,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFNA,Perfluorononanoic acid,=,2.1,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFDA,Perfluorodecanoic acid,=,1,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFDA,Perfluorodecanoic acid,=,1.9,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFNS,Perfluorononane sulfonic acid,=,0.44,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFOA,Perfluorooctanoic acid,=,7.5,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFOA,Perfluorooctanoic acid,=,6.2,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFOS,Perfluorooctane sulfonic acid,=,3.8,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFOS,Perfluorooctane sulfonic acid,=,4.9,NG/L,Encina Wastewater Authority
7/26/2021,influent,PFPA,Perfluoropentanoic acid,=,13,NG/L,Encina Wastewater Authority
7/26/2021,effluent,PFPA,Perfluoropentanoic acid,=,9.4,NG/L,Encina Wastewater Authority
